image_name; comment_number; comment;translations;captions
1145730606.jpg;0; Someone is holding a young women on their shoulders for her to be able to reach the area she would like to use a wire brush to scrape off peeling paint .;Alguien está sosteniendo a una mujer joven sobre sus hombros para que pueda llegar a la zona que le gustaría utilizar un cepillo de alambre para raspar la pintura de pelar.;Alguien está sosteniendo a una mujer joven sobre sus hombros para que pueda llegar a la zona que le gustaría utilizar un cepillo de alambre para raspar la pintura de pelar.
1145770960.jpg;0; A child and a man sit on the ground together , ready to use paintbrushes and a bucket .;Un niño y un hombre se sientan juntos en el suelo, listos para usar pinceles y un cubo.;Un niño y un hombre se sientan juntos en el suelo, listos para usar pinceles y un cubo.
1148889628.jpg;0; A construction worker in jeans is standing on a scaffold holding on to a metal frame with a city backdrop .;Un trabajador de la construcción en jeans está de pie en un andamio sujetando a un marco de metal con un telón de fondo de la ciudad.;Un trabajador de la construcción en jeans está de pie en un andamio sujetando a un marco de metal con un telón de fondo de la ciudad.
114939325.jpg;0; A girl wearing flip-flop sandals swinging on a swing set in a park underneath fluffy white clouds .;Una chica usando sandalias flip-flop balanceándose en un columpio en un parque debajo de nubes blancas esponjosas.;Una chica usando sandalias flip-flop balanceándose en un columpio en un parque debajo de nubes blancas esponjosas.
114954667.jpg;0; An Elderly man crouches to lift the covering off the grill wear several shish kabab are grilling .;Un anciano se agacha para levantar el revestimiento de la parrilla llevar varios shish kabab están a la parrilla .;Un anciano se agacha para levantar el revestimiento de la parrilla llevar varios shish kabab están a la parrilla .
11533606.jpg;0; A male figure in a long-sleeve shirt and suspenders is standing in the entry to a black train .;Una figura masculina en una camisa de manga larga y tirantes está de pie en la entrada a un tren negro .;Una figura masculina en una camisa de manga larga y tirantes está de pie en la entrada a un tren negro .
11536856.jpg;0; Two ladies are cooking & talking and two gentlemen are talking in the opposite site of the kitchen .;Dos damas están cocinando y hablando y dos caballeros están hablando en el sitio opuesto de la cocina.;Dos damas están cocinando y hablando y dos caballeros están hablando en el sitio opuesto de la cocina.
1153704539.jpg;0; a young girl wearing a blue shirt marching in a band playing a trumpet;una joven vestida con una camisa azul marchando en una banda tocando una trompeta;una joven vestida con una camisa azul marchando en una banda tocando una trompeta
1153857697.jpg;0; A man in tan shorts talking to a young girl in a red shirt .;Un hombre en pantalones cortos bronceados hablando con una joven con una camisa roja.;Un hombre en pantalones cortos bronceados hablando con una joven con una camisa roja.
115767961.jpg;0; A man in a white and black uniform carries luggage and blankets across a sidewalk outside of a red bricked building .;Un hombre en un uniforme blanco y negro lleva equipaje y mantas a través de una acera fuera de un edificio de ladrillos rojos.;Un hombre en un uniforme blanco y negro lleva equipaje y mantas a través de una acera fuera de un edificio de ladrillos rojos.
1157855775.jpg;0; Three people are walking on a lake shore with houses on the other side .;Tres personas están caminando en una orilla del lago con casas en el otro lado.;Tres personas están caminando en una orilla del lago con casas en el otro lado.
115903799.jpg;0; A barefoot young girl in a pink gown is asleep on a hard wood floor cuddling her baby doll .;Una joven descalza en un vestido rosa está durmiendo en un suelo de madera dura abrazando a su muñeca.;Una joven descalza en un vestido rosa está durmiendo en un suelo de madera dura abrazando a su muñeca.
11610969.jpg;0; A woman in a blue shirt with a blue bag passes by a large yard sale with colorful clothes , adults and children within .;Una mujer en una camisa azul con una bolsa azul pasa por una gran venta de patio con ropa colorida, adultos y niños en el interior.;Una mujer en una camisa azul con una bolsa azul pasa por una gran venta de patio con ropa colorida, adultos y niños en el interior.
1163297375.jpg;0; Blond woman driving a red bicycle carriage holds the tip of her hat and poses for the camera with a customer seated in the back .;Rubia mujer conduciendo un carruaje de bicicleta rojo sostiene la punta de su sombrero y posa para la cámara con un cliente sentado en la parte posterior .;Rubia mujer conduciendo un carruaje de bicicleta rojo sostiene la punta de su sombrero y posa para la cámara con un cliente sentado en la parte posterior .
116664780.jpg;0; A young child in a striped sweatshirt brushes the hair of a younger child .;Un niño pequeño en una sudadera a rayas cepilla el cabello de un niño más pequeño .;Un niño pequeño en una sudadera a rayas cepilla el cabello de un niño más pequeño .
11678931.jpg;0; A boy with a brown shirt is holding onto a person with a white shirt around a spray of water .;Un niño con una camisa marrón se aferra a una persona con una camisa blanca alrededor de un spray de agua .;Un niño con una camisa marrón se aferra a una persona con una camisa blanca alrededor de un spray de agua .
1177994172.jpg;0; Two blond boys , one in a camouflage shirt and the other in blue , are having a water fight .;Dos chicos rubios, uno en camisa de camuflaje y el otro en azul, están teniendo una pelea de agua.;Dos chicos rubios, uno en camisa de camuflaje y el otro en azul, están teniendo una pelea de agua.
1178705300.jpg;0; a brown dog jumping into a pool after a bloe ball .;un perro marrón saltando en una piscina después de una bola de bloe.;un perro marrón saltando en una piscina después de una bola de bloe.
117956563.jpg;0; Restaurant workers smile as they take a break , gathered around a huge copper bowl in the kitchen .;Los trabajadores del restaurante sonríen mientras toman un descanso, reunidos alrededor de un enorme tazón de cobre en la cocina.;Los trabajadores del restaurante sonríen mientras toman un descanso, reunidos alrededor de un enorme tazón de cobre en la cocina.
1184910489.jpg;0; A woman with a red sleeveless top and a long black skirt holding one young child in her arm and holding another young child by the hand as she walks along .;Una mujer con un top rojo sin mangas y una falda larga negra sosteniendo a un niño pequeño en su brazo y sosteniendo a otro niño pequeño por la mano mientras camina a lo largo .;Una mujer con un top rojo sin mangas y una falda larga negra sosteniendo a un niño pequeño en su brazo y sosteniendo a otro niño pequeño por la mano mientras camina a lo largo .
1186603607.jpg;0; Eleven men and women in cotton shirts and denim pants walk uphill along a shaded forest trail .;Once hombres y mujeres en camisas de algodón y pantalones vaqueros caminan cuesta arriba a lo largo de un sendero bosque sombreado.;Once hombres y mujeres en camisas de algodón y pantalones vaqueros caminan cuesta arriba a lo largo de un sendero bosque sombreado.
118668756.jpg;0; A little boy wearing a purple shirt and blue jeans kicking a ball on the grass .;Un niño que lleva una camisa púrpura y vaqueros azules pateando una pelota en la hierba.;Un niño que lleva una camisa púrpura y vaqueros azules pateando una pelota en la hierba.
118897631.jpg;0; A woman cooks on the stove in her kitchen as her dog begs below .;Una mujer cocina en la estufa en su cocina como su perro mendiga abajo.;Una mujer cocina en la estufa en su cocina como su perro mendiga abajo.
119082045.jpg;0; A man and a woman locking arms ( wearing expensive clothing ) next to glass display ( perhaps retail stores ) on the sidewalk in an urban setting .;Un hombre y una mujer con los brazos cerrados (con ropa cara) junto a la pantalla de vidrio (tal vez tiendas minoristas) en la acera en un entorno urbano.;Un hombre y una mujer con los brazos cerrados (con ropa cara) junto a la pantalla de vidrio (tal vez tiendas minoristas) en la acera en un entorno urbano.
1190951807.jpg;0; A man wearing an orange construction hat wipes his face , while another man in an orange construction hat hoists something up on a chain pulley , while standing in front of some fire .;Un hombre que lleva un sombrero de construcción naranja se limpia la cara, mientras que otro hombre en un sombrero de construcción naranja levanta algo en una polea de cadena, mientras está de pie frente a un poco de fuego.;Un hombre que lleva un sombrero de construcción naranja se limpia la cara, mientras que otro hombre en un sombrero de construcción naranja levanta algo en una polea de cadena, mientras está de pie frente a un poco de fuego.
1191939974.jpg;0; A man wearing a construction hat and gloves works with machinery .;Un hombre que lleva un sombrero de construcción y guantes trabaja con maquinaria.;Un hombre que lleva un sombrero de construcción y guantes trabaja con maquinaria.
1193116658.jpg;0; A young girl rides a unicycle next to another riding a scooter on a busy street .;Una joven monta un monociclo al lado de otro montando un scooter en una calle concurrida.;Una joven monta un monociclo al lado de otro montando un scooter en una calle concurrida.
1193547352.jpg;0; Two climbers attempting to climb a steep , snow-covered peak , nearing the top , where two other climbers await them .;Dos escaladores tratando de escalar un pico empinado, cubierto de nieve, cerca de la cima, donde otros dos escaladores les esperan.;Dos escaladores tratando de escalar un pico empinado, cubierto de nieve, cerca de la cima, donde otros dos escaladores les esperan.
119364730.jpg;0; A man with a determined look on his face holds a small wooden hammer while wearing a bib displaying a large red crab , another red crustacean held in his hand while another man sits and holds some food behind him .;Un hombre con una mirada determinada en su cara sostiene un pequeño martillo de madera mientras lleva un pedo que muestra un gran cangrejo rojo, otro crustáceo rojo sostenido en su mano mientras que otro hombre se sienta y sostiene algo de comida detrás de él.;Un hombre con una mirada determinada en su cara sostiene un pequeño martillo de madera mientras lleva un pedo que muestra un gran cangrejo rojo, otro crustáceo rojo sostenido en su mano mientras que otro hombre se sienta y sostiene algo de comida detrás de él.
1196432301.jpg;0; A half dozen construction workers stand beside a large piece of equipment .;Una media docena de trabajadores de la construcción están de pie junto a una gran pieza de equipo .;Una media docena de trabajadores de la construcción están de pie junto a una gran pieza de equipo .
1197800988.jpg;0; A woman in a purple jacket is eating a snack at a table behind the tree .;Una mujer con una chaqueta púrpura está comiendo un bocadillo en una mesa detrás del árbol.;Una mujer con una chaqueta púrpura está comiendo un bocadillo en una mesa detrás del árbol.
120474559.jpg;0; A man is sitting in front of a computer monitor holding a keyboard and looking at the camera .;Un hombre está sentado frente a un monitor de computadora sosteniendo un teclado y mirando a la cámara.;Un hombre está sentado frente a un monitor de computadora sosteniendo un teclado y mirando a la cámara.
120545126.jpg;0; Several young adults performing in martial arts clothing .;Varios adultos jóvenes que actúan en ropa de artes marciales.;Varios adultos jóvenes que actúan en ropa de artes marciales.
1206506157.jpg;0; Two dogs are playing rough in a green field of grass .;Dos perros están jugando duro en un campo verde de hierba.;Dos perros están jugando duro en un campo verde de hierba.
1211184847.jpg;0; Several men are working on tiles together while sitting on the floor .;Varios hombres están trabajando juntos en azulejos mientras se sientan en el suelo.;Varios hombres están trabajando juntos en azulejos mientras se sientan en el suelo.
12118309.jpg;0; Two men with dark hair wearing glasses and black shirts eat bread while holding their hands up to the camera .;Dos hombres con el pelo oscuro usando gafas y camisas negras comen pan mientras sostienen sus manos hacia arriba a la cámara .;Dos hombres con el pelo oscuro usando gafas y camisas negras comen pan mientras sostienen sus manos hacia arriba a la cámara .
121197973.jpg;0; A man in some sort of establishment , smiling while he is taking off or putting on glasses .;Un hombre en algún tipo de establecimiento, sonriendo mientras se quita o se pone gafas.;Un hombre en algún tipo de establecimiento, sonriendo mientras se quita o se pone gafas.
121551810.jpg;0; Two men , in the woods , cook something in a can over an open fire .;Dos hombres, en el bosque, cocinar algo en una lata sobre un fuego abierto.;Dos hombres, en el bosque, cocinar algo en una lata sobre un fuego abierto.
122202217.jpg;0; The journey is temporarily delayed by mechanical malfunctions .;El viaje se retrasa temporalmente por averías mecánicas .;El viaje se retrasa temporalmente por averías mecánicas .
1225443522.jpg;0; A woman in a blue coat and blue heels walks down a city sidewalk at night .;Una mujer con un abrigo azul y tacones azules camina por una acera de la ciudad por la noche.;Una mujer con un abrigo azul y tacones azules camina por una acera de la ciudad por la noche.
1225603792.jpg;0; A man and women outside , the women is in a boat and the man is holding something in his hand putting it up to the women 's mouth while wearing sunglasses .;Un hombre y mujeres afuera, las mujeres están en un barco y el hombre sostiene algo en su mano poniéndolo hasta la boca de las mujeres mientras llevan gafas de sol.;Un hombre y mujeres afuera, las mujeres están en un barco y el hombre sostiene algo en su mano poniéndolo hasta la boca de las mujeres mientras llevan gafas de sol.
1228304869.jpg;0; The man in a red checkered shirt is having beer and playing frisbee in the park .;El hombre con una camisa roja a cuadros está tomando cerveza y jugando frisbee en el parque.;El hombre con una camisa roja a cuadros está tomando cerveza y jugando frisbee en el parque.
1230594535.jpg;0; A lady wearing a green shirt stands on the window seal of a brick building as a young boy watches on .;Una señora que lleva una camisa verde se para en el sello de la ventana de un edificio de ladrillo como un niño observa en .;Una señora que lleva una camisa verde se para en el sello de la ventana de un edificio de ladrillo como un niño observa en .
123101580.jpg;0; Two girls are playing soccer and one is wearing a white shirt with green shorts showing the number 4 , while the other girl is wearing a red and white shirt .;Dos chicas están jugando al fútbol y una está usando una camisa blanca con pantalones cortos verdes que muestran el número 4 , mientras que la otra chica está usando una camisa roja y blanca .;Dos chicas están jugando al fútbol y una está usando una camisa blanca con pantalones cortos verdes que muestran el número 4 , mientras que la otra chica está usando una camisa roja y blanca .
1235580648.jpg;0; The two men are wearing tall hats , one hat is a red print and the other is gold colored .;Los dos hombres están usando sombreros altos, un sombrero es una huella roja y el otro es de color oro.;Los dos hombres están usando sombreros altos, un sombrero es una huella roja y el otro es de color oro.
1235685934.jpg;0; A man wearing sunglasses is standing next to a person who is wearing a hat and breathing mask .;Un hombre que lleva gafas de sol está de pie al lado de una persona que está usando un sombrero y la máscara de respiración .;Un hombre que lleva gafas de sol está de pie al lado de una persona que está usando un sombrero y la máscara de respiración .
1238084765.jpg;0; A man in blue shirt with a spatula is bending over to pick something up while grilling , as another man in red and black rain jacket leans on grill and watches .;Un hombre de camisa azul con una espátula se inclina para recoger algo mientras a la parrilla , como otro hombre de rojo y negro chaqueta de lluvia se apoya en la parrilla y relojes .;Un hombre de camisa azul con una espátula se inclina para recoger algo mientras a la parrilla , como otro hombre de rojo y negro chaqueta de lluvia se apoya en la parrilla y relojes .
12393804.jpg;0; A man with a large red feather in his hat is sitting on top of a horse .;Un hombre con una gran pluma roja en su sombrero está sentado encima de un caballo.;Un hombre con una gran pluma roja en su sombrero está sentado encima de un caballo.
123997871.jpg;0; The woman lacrosse player in blue is about to catch the ball .;La mujer jugadora de lacrosse en azul está a punto de coger la pelota.;La mujer jugadora de lacrosse en azul está a punto de coger la pelota.
1243798805.jpg;0; A street performer strumming on his guitar , waiting for people to toss him tips .;Un artista callejero tocando su guitarra, esperando a que la gente le tire las propinas.;Un artista callejero tocando su guitarra, esperando a que la gente le tire las propinas.
124880336.jpg;0; Three people wearing colorful costumes and masks sitting between two stone statues .;Tres personas con trajes coloridos y máscaras sentadas entre dos estatuas de piedra.;Tres personas con trajes coloridos y máscaras sentadas entre dos estatuas de piedra.
